"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.679001500E-2,3.854158640E0,-4.862833023E-1,8.264555931E-1,3.971654456E0
3.679001500E-2,3.854159832E0,-4.862914085E-1,8.264636993E-1,3.971658292E0
4.679001500E-2,3.854059696E0,-4.862794876E-1,8.264021873E-1,3.971546859E0
5.679001500E-2,-1.003742218E-3,3.257451057E-1,4.571547508E-1,5.613388884E-1
6.679001500E-2,3.988814354E-2,3.453559875E-1,4.244031906E-1,5.486163417E-1
7.679001500E-2,2.436063290E-1,3.741502762E-1,3.192186356E-1,5.488469823E-1
8.679001500E-2,2.208874226E-1,3.647656441E-1,3.064885139E-1,5.251480151E-1
9.679001500E-2,1.782815456E-1,3.519635201E-1,4.174766541E-1,5.744122088E-1
1.067900150E-1,-1.880915165E-1,2.037215233E-1,4.685549736E-1,5.444489332E-1
1.167900150E-1,-2.037472725E-1,2.940812111E-1,8.569068909E-1,9.285936298E-1
1.267900150E-1,-2.438929081E-1,1.926741600E-1,1.153601646E0,1.194740073E0
1.367907150E-1,-3.362669945E-1,9.173345566E-2,1.208590984E0,1.257848435E0
1.467907150E-1,-2.126834393E-1,1.163005829E-2,8.633885384E-1,8.892745761E-1
1.567907150E-1,2.895781994E-1,-5.796766281E-2,2.080206871E-1,3.612317674E-1
1.667907150E-1,3.766746521E-1,1.182556152E-2,9.001588821E-2,3.874616079E-1
1.767907150E-1,2.273404598E-1,5.525064468E-2,6.456995010E-2,2.427047525E-1
1.867907150E-1,9.206223488E-2,-1.208305359E-3,-1.250267029E-2,9.291518636E-2
1.967907150E-1,7.064032555E-2,-1.843838692E-1,-2.739372253E-1,3.376819069E-1
2.067907150E-1,9.932780266E-2,-2.901382446E-1,-2.798352242E-1,4.151553517E-1
2.167907150E-1,9.676647186E-2,-3.454041481E-1,-1.279826164E-1,3.808507919E-1
2.267907150E-1,-7.285928726E-2,-2.980856895E-1,-1.795620918E-1,3.555363538E-1
2.367907150E-1,-2.732973099E-1,-3.494696617E-1,-5.908427238E-1,7.388610075E-1
2.467909050E-1,-1.437613964E-1,-3.607769012E-1,-6.853466034E-1,7.877355383E-1
2.567909050E-1,2.487795353E-1,-3.355484009E-1,-2.851858139E-1,5.057815091E-1
2.667909050E-1,4.150490761E-1,-3.613772392E-1,2.118096352E-1,5.896800540E-1
2.767909050E-1,4.911134243E-1,-3.297543526E-1,4.053745270E-1,7.171184252E-1
2.867909050E-1,4.337451458E-1,-2.978496552E-1,4.363379478E-1,6.835496129E-1
2.967909050E-1,4.944417477E-1,-4.206576347E-1,5.739183426E-1,8.664916338E-1
3.067909050E-1,4.772229195E-1,-4.356279373E-1,5.422334671E-1,8.435227012E-1
3.167909050E-1,4.996716976E-1,-4.925484657E-1,4.279060364E-1,8.218146826E-1
3.267909050E-1,4.864013195E-1,-4.998698235E-1,4.587001801E-1,8.347825700E-1
3.367909050E-1,3.465471268E-1,-3.641853333E-1,5.130863190E-1,7.183198722E-1
3.467909050E-1,2.158458233E-1,-3.108448982E-1,5.610213280E-1,6.767266070E-1
3.567909050E-1,3.975331783E-1,-4.727387428E-1,9.394669533E-1,1.124327667E0
3.667909050E-1,4.515156746E-1,-4.399547577E-1,1.011857986E0,1.192175817E0
3.767909050E-1,4.679801464E-1,-2.927594185E-1,7.536211014E-1,9.341617949E-1
3.867909050E-1,4.052882195E-1,-2.228937149E-1,3.471870422E-1,5.783415870E-1
3.967909050E-1,1.136624813E-1,-2.208242416E-1,1.558494568E-2,2.488481382E-1
4.067909050E-1,-3.299164772E-2,-2.405238152E-1,9.310436249E-2,2.600164933E-1
4.167909050E-1,-2.759582996E-1,-4.772944450E-1,3.051424026E-1,6.301387596E-1
4.267909050E-1,-2.279794216E-1,-6.045856476E-1,3.589286804E-1,7.391401894E-1
4.367906710E-1,-2.634551525E-1,-5.958054066E-1,6.413297653E-1,9.141644096E-1
4.467906710E-1,-3.123073578E-1,-5.230224133E-1,8.457956314E-1,1.042333239E0
4.567906710E-1,-4.621715546E-1,-3.998000622E-1,1.358985901E0,1.490062185E0
4.667906710E-1,-4.865875244E-1,-1.532227993E-1,1.328967094E0,1.423516134E0
4.767906710E-1,-3.300242424E-1,4.769420624E-2,8.671455383E-1,9.290490420E-1
4.867906710E-1,-1.406579018E-1,1.044120789E-1,5.926303864E-1,6.179783996E-1
4.967909040E-1,2.171144485E-1,-7.312822342E-2,-1.384544373E-2,2.295171391E-1
5.067909040E-1,6.566231251E-1,-2.226169109E-1,-3.750381470E-1,7.882676126E-1
5.167909040E-1,8.577233553E-1,-4.111783504E-1,-6.230688095E-1,1.137089148E0
5.267909040E-1,8.399578333E-1,-4.086718559E-1,-4.902629852E-1,1.054940587E0
5.367909040E-1,7.985048294E-1,-4.363355637E-1,-2.595710754E-2,9.103144831E-1
5.467907700E-1,6.912093163E-1,-4.431109428E-1,1.189413071E-1,8.296171774E-1
5.567907700E-1,6.354217529E-1,-3.451938629E-1,3.621006012E-1,8.087252021E-1
5.667907700E-1,6.658476591E-1,-2.494361401E-1,4.148607254E-1,8.232137721E-1
5.767907700E-1,3.459863663E-1,-1.723003387E-1,4.975471497E-1,6.300374104E-1
5.867907700E-1,8.609437943E-2,-1.000728607E-1,3.898801804E-1,4.116228549E-1
5.967907700E-1,-9.296679497E-2,2.607202530E-2,1.227998734E-1,1.562126255E-1
6.067910030E-1,-1.570065022E-1,3.454375267E-2,5.662822723E-2,1.704437405E-1
6.167910030E-1,-1.257996559E-1,-1.522924900E-1,-3.957128525E-1,4.422750474E-1
6.267910030E-1,5.307912827E-2,-2.026164532E-1,-5.662317276E-1,6.037294015E-1
6.367912360E-1,4.239869118E-1,-4.003520012E-1,-4.408349991E-1,7.310144476E-1
6.467912360E-1,5.352978706E-1,-4.317390919E-1,-1.465644836E-1,7.031526162E-1
6.567912360E-1,3.158575296E-1,-3.908970356E-1,2.784605026E-1,5.745491476E-1
6.667912360E-1,2.095854282E-2,-2.647256851E-1,2.806253433E-1,3.863541538E-1
6.767912360E-1,-6.412600279E-1,-5.288529396E-2,2.062606812E-2,6.437675919E-1
6.867912360E-1,-9.449100494E-1,1.395862103E-1,-1.551074982E-1,9.676764168E-1
6.967912360E-1,-1.286045551E0,1.156468391E-1,-2.156229019E-1,1.309114429E0
7.067912360E-1,-1.227696896E0,1.592373848E-2,5.407142639E-2,1.228990216E0
7.167915020E-1,-9.420151711E-1,2.311365604E-1,2.745790482E-1,1.008072590E0
7.267915020E-1,-6.309690475E-1,3.518099785E-1,1.384315491E-1,7.355647447E-1
7.367915020E-1,-3.850457668E-1,7.455062866E-2,1.256465912E-2,3.923976420E-1
7.467916350E-1,-4.461691380E-1,-9.230899811E-2,1.411027908E-1,4.769673452E-1
7.567916350E-1,-5.469591618E-1,-3.678605556E-1,-7.701683044E-2,6.636394392E-1
7.667916350E-1,-7.738096714E-1,-5.856750011E-1,-1.084715366E0,1.455473820E0
7.767916350E-1,-4.603033066E-1,-6.650638580E-1,1.519365311E-1,8.229664506E-1
7.867916350E-1,-1.968646049E-1,-5.654070377E-1,6.358003616E-1,8.733171765E-1
7.967914010E-1,2.133035660E-2,-5.158441067E-1,9.879074097E-1,1.114679854E0
8.067914010E-1,-6.726741791E-3,-4.347136021E-1,9.836530685E-1,1.075450847E0
8.167914010E-1,3.346984386E-1,-6.611719131E-1,8.835592270E-1,1.153190466E0
8.267916340E-1,6.194760799E-1,-7.023570538E-1,5.205726624E-1,1.071471857E0
8.367916340E-1,5.213105679E-1,-6.016252041E-1,2.299947739E-1,8.286224655E-1
8.467916340E-1,4.494493008E-1,-6.077038050E-1,1.810474396E-1,7.772301872E-1
8.567916340E-1,1.304497719E-1,-2.776653767E-1,1.347484589E-1,3.350706665E-1
8.667916340E-1,-6.762318611E-1,-3.531177044E-1,5.025100708E-1,9.135086285E-1
8.767916340E-1,-5.196979046E-1,-4.355428219E-1,6.640729904E-1,9.490924077E-1
8.867919000E-1,-3.214969635E-1,-1.963942051E-1,3.709001541E-1,5.286756148E-1
8.967919000E-1,2.722558975E-1,-2.777038813E-1,2.248487473E-1,4.492211911E-1
9.067916660E-1,5.551304817E-1,-2.801733017E-1,1.045446396E-1,6.305525453E-1
9.167916660E-1,4.003088474E-1,-4.464166164E-1,2.552413940E-1,6.516771731E-1
9.267916660E-1,1.543264389E-1,-5.433086157E-1,4.412326813E-1,7.167197365E-1
9.367909990E-1,6.262540817E-3,-5.728037357E-1,6.729516983E-1,8.837461894E-1
9.467909990E-1,-2.704143524E-2,-4.783595800E-1,6.844348907E-1,8.354700753E-1
9.567909990E-1,-2.981247902E-1,-4.613052607E-1,1.934490204E-1,5.823259032E-1
9.667909990E-1,-7.057909966E-1,-3.708407879E-1,-2.612867355E-1,8.390080923E-1
9.767909990E-1,-1.417738199E0,9.114181995E-2,-8.207483292E-1,1.640706023E0
9.867909990E-1,-1.178251982E0,9.993958473E-2,-5.623922348E-1,1.309408523E0
9.967911320E-1,-1.389882565E-1,-1.943572760E-1,-1.990013123E-1,3.109566022E-1
1.006791132E0,3.945701122E-1,-4.025659561E-1,-1.086692810E-1,5.740678837E-1
1.016790865E0,8.527307510E-1,-7.050143480E-1,-4.842185974E-2,1.107492502E0
1.026790865E0,8.423428535E-1,-7.114605904E-1,5.572795868E-2,1.104003288E0
1.036790965E0,7.125890255E-1,-8.234192133E-1,3.158531189E-1,1.133827814E0
1.046790865E0,5.401520729E-1,-7.537000775E-1,4.817495346E-1,1.044945301E0
1.056790865E0,2.813417912E-1,-6.830162406E-1,5.335321426E-1,9.112194772E-1
1.066790865E0,9.668612480E-2,-7.016709447E-1,2.785224915E-1,7.610946719E-1
1.076790865E0,-1.170415878E-1,-6.886673570E-1,1.835823059E-2,6.987835763E-1
1.086790865E0,-2.161965370E-1,-7.361910343E-1,-8.340549469E-2,7.717996231E-1
1.096790865E0,-1.463737488E-1,-7.798454165E-1,-1.535444260E-1,8.081831716E-1
1.106790865E0,7.667922974E-2,-8.537117839E-1,-4.315185547E-2,8.582339989E-1
1.116790865E0,4.699983597E-1,-1.126329303E0,3.618097305E-1,1.272958144E0
1.126790631E0,4.689736366E-1,-1.221086621E0,6.886711121E-1,1.478261381E0
1.136790864E0,2.999322414E-1,-1.190232754E0,1.250067711E0,1.751936825E0
1.146790864E0,2.153961658E-1,-1.062803149E0,1.452862740E0,1.812941307E0
1.156790864E0,3.837895393E-2,-1.015319824E0,1.509355545E0,1.819478346E0
1.166790864E0,-3.929758072E-2,-1.002696753E0,1.377499580E0,1.704244751E0
1.176790864E0,3.743751049E-1,-1.060889721E0,7.532520294E-1,1.353895247E0
1.186790597E0,5.779156685E-1,-1.053130984E0,3.143482208E-1,1.241727101E0
1.196790597E0,4.074223042E-1,-9.052006006E-1,2.132415771E-3,9.926659098E-1
1.206790597E0,6.482696533E-2,-7.596767545E-1,4.012489319E-2,7.634928381E-1
1.216790597E0,-2.204406261E-1,-5.288392305E-1,3.594312668E-1,6.763548159E-1
1.226790597E0,-1.306405067E-1,-3.656263351E-1,7.944602966E-1,8.842605509E-1
1.236791030E0,-1.024136543E-1,-3.067121506E-1,1.224270821E0,1.266254296E0
1.246791163E0,-5.632519722E-2,-3.384702206E-1,1.132608414E0,1.183442621E0
1.256791163E0,-1.206471920E-1,-4.237046242E-1,7.842350006E-1,8.995031349E-1
1.266791663E0,-2.712817192E-1,-5.656092763E-1,5.800800323E-1,8.544006487E-1
1.276791663E0,-1.366949081E-1,-7.491732240E-1,2.188119888E-1,7.923539007E-1
1.286791663E0,-9.367489815E-2,-6.903119087E-1,1.118431091E-1,7.055596353E-1
1.296791529E0,-1.279139519E-1,-7.418868542E-1,1.868476868E-1,7.756739918E-1
1.306791529E0,-2.122998238E-2,-8.342931271E-1,3.429527283E-1,9.022817231E-1
