"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.997041732E-3,-6.402701139E-2,4.550624818E-2,1.232008338E-3,7.856077046E-2
1.892704167E-2,-6.873051167E-2,2.907524329E-2,-7.773346961E-2,1.077578085E-1
2.885704162E-2,-1.060588440E-1,7.215592023E-3,-1.399560302E-1,1.757504867E-1
3.878804157E-2,-1.136494070E-1,6.887559570E-2,-1.663532853E-1,2.129165351E-1
4.871804174E-2,5.589791983E-2,3.628496982E-2,-1.845118135E-1,1.961779442E-1
5.864904169E-2,2.322233391E-1,-5.299422909E-3,-1.131371909E-1,2.583714130E-1
6.857904163E-2,3.012707698E-1,-2.809344096E-2,7.135766566E-2,3.108781669E-1
7.850904157E-2,3.354459912E-1,-1.303629421E-2,-2.459923625E-3,3.357082203E-1
8.844004152E-2,2.790721080E-1,1.378481090E-2,-2.042771566E-1,3.461219715E-1
9.837004170E-2,1.698873425E-1,5.612292800E-2,-2.647654331E-1,3.195500379E-1
1.083010416E-1,1.662252313E-1,7.830863463E-2,-2.111347711E-1,2.798945540E-1
1.182310416E-1,2.026568931E-1,4.897737466E-2,-1.021847713E-1,2.321859751E-1
1.281610415E-1,2.372879049E-1,7.400988959E-2,-6.761427820E-2,2.575940686E-1
1.380920417E-1,2.523342526E-1,1.182197735E-1,-7.044316113E-2,2.874208218E-1
1.480220417E-1,2.360485876E-1,1.473784127E-1,-5.105964124E-2,2.829247589E-1
1.579520416E-1,7.419268817E-2,1.199470227E-1,-1.905490637E-2,1.423198254E-1
1.678830415E-1,-8.323686898E-2,1.672925126E-1,5.231211483E-2,1.940405073E-1
1.778130417E-1,-8.117689490E-2,2.264731324E-1,1.578303838E-1,2.877328587E-1
1.877440417E-1,7.796063393E-2,1.841185700E-1,1.640027046E-1,2.586008418E-1
1.976740416E-1,1.190466794E-1,1.608307180E-1,1.227359802E-1,2.347397550E-1
2.076040416E-1,6.166795224E-2,1.663680130E-1,7.298553050E-2,1.918544754E-1
2.175350417E-1,-1.434614360E-3,1.871834246E-1,7.192659974E-2,2.005321129E-1
2.274650417E-1,-7.729755968E-2,1.935104591E-1,1.413581926E-1,2.518002167E-1
2.373960416E-1,-1.097016594E-1,1.634090843E-1,2.065511388E-1,2.853074760E-1
2.473260416E-1,-1.394943926E-1,1.716671984E-1,2.104921621E-1,3.053444987E-1
2.572560417E-1,-1.764964503E-1,1.953587823E-1,1.484397554E-1,3.022423064E-1
2.671870417E-1,-1.942822185E-1,1.499206907E-1,7.803577065E-2,2.575099521E-1
2.771170416E-1,-1.488043293E-1,1.442151239E-1,5.896566153E-2,2.154476262E-1
2.870480416E-1,-4.362227529E-2,1.574772120E-1,1.018152273E-1,1.925313369E-1
2.969780415E-1,8.363126367E-2,1.203860573E-1,1.999443698E-1,2.479208383E-1
3.069080417E-1,1.629426044E-1,1.219783637E-1,2.343447089E-1,3.103972554E-1
3.168390417E-1,1.079013017E-1,1.070928876E-1,2.203318566E-1,2.676895674E-1
3.267690416E-1,7.226164520E-2,4.344877744E-2,2.194980437E-1,2.351359879E-1
3.367000415E-1,2.671326783E-1,-3.123838417E-3,2.445925391E-1,3.622086917E-1
3.466300417E-1,3.503327098E-1,-5.024804771E-3,2.458426738E-1,4.280150424E-1
3.565600417E-1,2.973019722E-1,-9.884241147E-2,2.879712778E-1,4.255417040E-1
3.664910416E-1,3.753932914E-1,-1.443559504E-1,2.390306675E-1,4.678615433E-1
3.764210416E-1,4.391975239E-1,-5.939974420E-2,1.000563848E-1,4.543501675E-1
3.863520417E-1,4.765416437E-1,3.263274411E-2,-3.555399477E-2,4.789790400E-1
3.962820417E-1,4.693630171E-1,1.083023110E-2,-1.198205584E-1,4.845367911E-1
4.062120416E-1,2.965836418E-1,1.588608094E-2,-1.914015877E-1,3.533394854E-1
4.161430416E-1,1.086687487E-1,4.293721916E-2,-2.030814010E-1,2.342958753E-1
4.260730417E-1,1.150354895E-1,2.688202579E-2,-1.603674906E-1,1.991821759E-1
4.360040417E-1,1.135532203E-1,4.600406550E-3,-2.098975003E-2,1.155684524E-1
4.459340416E-1,1.163689470E-1,2.794768084E-2,2.568658447E-1,2.833776048E-1
4.558640416E-1,2.564199945E-1,5.239964034E-2,4.160808492E-1,4.915487859E-1
4.657950415E-1,3.389534435E-1,7.619302064E-2,3.915652281E-1,5.234674212E-1
4.757250417E-1,3.376278797E-1,6.439904049E-2,2.900324214E-1,4.497317278E-1
4.856560417E-1,2.102737686E-1,8.448166810E-3,1.881300706E-1,2.822753137E-1
4.955860416E-1,5.437033474E-3,-6.997574933E-2,1.183499837E-1,1.375968222E-1
5.055160415E-1,-1.495089188E-1,-2.827918142E-2,5.197823882E-2,1.607929296E-1
5.154470417E-1,-2.238264450E-1,4.583584841E-2,-1.957589328E-2,2.293085653E-1
5.253770417E-1,-1.923239860E-1,5.164090930E-2,2.267491758E-2,2.004231798E-1
5.353080416E-1,-6.116377607E-2,6.454079892E-2,9.655156374E-2,1.312582443E-1
5.452380416E-1,4.398772627E-2,5.509255724E-2,1.400261968E-1,1.567719545E-1
5.551680417E-1,1.103197101E-1,2.133499157E-2,1.699452299E-1,2.037326716E-1
5.650990417E-1,1.554985142E-1,9.647540376E-4,7.712769806E-2,1.735782258E-1
5.750290416E-1,5.071889475E-2,-2.591878837E-3,-4.170526564E-2,6.571493972E-2
5.849600416E-1,-3.135890990E-2,1.669165366E-2,-1.679144919E-1,1.716312009E-1
5.948900417E-1,-1.522775754E-2,2.640874850E-2,-2.647256720E-1,2.664751171E-1
6.048200417E-1,3.054073825E-2,4.518752924E-2,-2.761768591E-1,2.815107583E-1
6.147510416E-1,6.234023586E-2,5.030144010E-2,-2.175228542E-1,2.318032182E-1
6.246810416E-1,8.374177605E-2,4.586071735E-3,-1.576356715E-1,1.785573354E-1
6.346120415E-1,9.567448139E-2,-3.276305022E-2,-1.008586228E-1,1.428267679E-1
6.445420417E-1,9.406006515E-2,2.321179704E-2,-4.467506647E-2,1.066861985E-1
6.544720416E-1,6.014007479E-2,1.263294870E-1,1.495425403E-2,1.407110429E-1
6.644021666E-1,4.462521896E-2,1.595967180E-1,1.118022716E-1,1.999056540E-1
6.743321666E-1,1.128423451E-1,1.436967865E-1,1.282709545E-1,2.232388834E-1
6.842631667E-1,1.245361917E-1,1.364368470E-1,1.562376022E-2,1.853871035E-1
6.941931667E-1,8.751834646E-2,9.960865254E-2,-5.322486520E-2,1.428783780E-1
