"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.232680416E-1,-3.891906738E-3,-7.065307617E-2,2.468367004E-1,2.567788169E-1
6.333130416E-1,-4.041595459E-3,-6.077362061E-2,2.537223816E-1,2.609306697E-1
6.433580416E-1,1.197509766E-3,-6.406677246E-2,2.692900085E-1,2.768087680E-1
6.534040417E-1,-1.047821045E-3,-7.214996338E-2,2.868035889E-1,2.957414643E-1
6.634490417E-1,-1.945953369E-3,-6.556365967E-2,3.147953796E-1,3.215563889E-1
6.734940417E-1,2.095642090E-3,-5.807922363E-2,3.294648743E-1,3.345514778E-1
6.835390417E-1,4.041595459E-3,-5.688171387E-2,3.390449524E-1,3.438071314E-1
6.935850416E-1,5.089416504E-3,-6.556365967E-2,3.588038635E-1,3.647803560E-1
7.036300416E-1,7.035369873E-3,-6.601272583E-2,3.888912964E-1,3.945169411E-1
7.136750416E-1,-1.496887207E-3,-6.152206421E-2,3.956272888E-1,4.003850106E-1
7.237200416E-1,-1.002914429E-2,-5.912704468E-2,4.153862000E-1,4.196930858E-1
7.337660416E-1,-2.694396973E-3,-5.149291992E-2,4.522096252E-1,4.551398969E-1
7.438110416E-1,1.272354126E-2,-6.870712280E-2,5.128335571E-1,5.175720380E-1
7.538560416E-1,4.445755005E-2,-4.296066284E-2,9.225315857E-1,9.246007889E-1
7.639010416E-1,7.037465515E0,-2.549498291E0,3.602363846E1,3.679304812E1
7.739470416E-1,5.188510437E0,-2.860716110E1,1.975115726E2,1.996399549E2
7.839920416E-1,1.349099533E1,-3.207949036E1,1.503301369E2,1.543057054E2
7.940370416E-1,4.868326263E0,1.780846710E0,-1.509341309E1,1.595879489E1
8.040820416E-1,2.007325745E-1,1.175056458E-1,2.580783234E0,2.591243571E0
8.141280416E-1,-2.170486450E-2,-6.123765564E-1,2.912942505E-1,6.784751199E-1
8.241730416E-1,-1.318757629E-1,-5.049000549E-1,-1.499880981E-1,5.429656637E-1
8.342180416E-1,-8.666976929E-2,-5.210664368E-1,2.002835083E-1,5.649206707E-1
8.442640416E-1,-1.219963074E-1,-4.951702881E-1,1.712438965E-1,5.379602079E-1
8.543090416E-1,2.439926147E-2,-4.596940613E-1,1.001866608E0,1.102565487E0
8.643540416E-1,1.422042847E-2,-4.064048767E-1,2.391876068E0,2.426198316E0
8.743990416E-1,2.377056885E-1,-1.899549866E-1,4.464915161E0,4.475271421E0
8.844450417E-1,7.940986633E-1,-1.252894592E-1,6.516997833E0,6.566395579E0
8.944900417E-1,1.664239197E0,-1.326242065E-1,8.014783173E0,8.186820542E0
9.045350417E-1,2.909200287E0,-4.593946838E-1,9.198222198E0,9.658249396E0
9.145800417E-1,2.699037323E0,-1.478625183E0,8.622369690E0,9.155129380E0
9.246260416E-1,1.582808533E0,-2.268831940E0,8.988208923E0,9.404295873E0
9.346710416E-1,1.299896851E0,-2.968327332E0,1.151375702E1,1.196107435E1
9.447160416E-1,1.623523865E0,-3.566932526E0,1.353021378E1,1.408635944E1
9.547610416E-1,2.430346069E0,-3.955823822E0,1.361823074E1,1.438788840E1
9.648070416E-1,3.303779755E0,-4.070036316E0,1.374007736E1,1.470611717E1
9.748520416E-1,2.858006744E0,-3.223995667E0,1.260364059E1,1.331968869E1
9.848970416E-1,2.292033691E0,-1.074914703E0,1.421204590E1,1.443575799E1
9.949420416E-1,3.429218903E0,3.145708466E0,1.503368729E1,1.573743237E1
1.004988042E0,2.562221832E0,2.791395264E0,8.876391449E0,9.651279366E0
1.015033042E0,1.553619232E0,7.762857056E-1,5.666017456E0,5.926221902E0
1.025078042E0,1.812880096E0,2.945874023E-1,6.292913818E0,6.555461868E0
1.035123042E0,1.958676910E0,-1.212478638E-1,7.100334778E0,7.366537195E0
1.045169042E0,2.016456757E0,-5.345384216E-1,8.235274658E0,8.495385681E0
1.055214042E0,2.027833099E0,-9.460327148E-1,9.600735168E0,9.858052584E0
1.065259042E0,1.312021637E0,-1.563947754E0,1.071397018E1,1.090671768E1
